KNN k=5
331 25 0 8 2 5 13 24 0 4 6 2 12 4 2 1 5 8 0 0 0 0 3 4 0 	->0 
12 269 9 29 7 0 8 3 0 0 3 0 26 4 15 0 27 11 1 0 1 0 6 1 1 	->1 
0 0 456 0 7 14 4 0 0 1 2 23 0 0 1 1 0 0 1 1 1 0 3 0 0 	->2 
3 30 2 313 1 0 0 0 0 0 1 0 0 0 23 3 7 0 1 0 8 1 2 0 1 	->3 
0 19 34 6 238 14 14 0 0 1 9 7 7 0 0 3 0 5 2 0 0 1 2 0 0 	->4 
0 2 1 1 34 262 3 0 0 3 0 0 1 0 0 77 2 0 1 30 0 0 0 0 2 	->5 
8 16 13 7 6 2 268 0 0 0 2 4 3 0 10 0 25 1 3 0 6 3 12 0 0 	->6 
16 21 2 1 0 1 2 284 0 0 4 0 26 8 0 0 0 0 0 0 14 2 19 0 2 	->7 
1 3 12 9 18 15 1 1 577 85 0 8 0 0 0 1 0 1 20 4 0 0 0 6 6 	->8 
0 7 1 11 5 1 1 0 6 359 0 0 0 0 0 0 5 0 18 9 0 0 1 0 1 	->9 
2 5 15 4 16 6 0 2 0 0 275 5 5 1 1 0 0 9 0 0 1 2 19 8 0 	->10 
0 0 3 0 1 0 1 0 0 1 0 485 0 0 0 0 0 0 0 0 0 0 3 0 0 	->11 
27 29 7 7 3 2 1 93 0 0 22 0 199 19 0 15 1 6 0 1 5 0 18 5 0 	->12 
11 21 1 6 4 1 1 39 0 0 17 0 21 277 0 0 3 0 0 0 12 2 20 2 1 	->13 
2 32 24 117 0 0 5 0 0 0 0 0 0 0 235 1 34 0 0 0 9 0 0 0 0 	->14 
5 3 3 25 4 13 0 0 0 0 0 0 1 0 2 391 8 0 0 2 1 3 0 0 6 	->15 
3 15 9 10 3 1 32 0 0 0 0 0 1 0 16 2 329 4 0 0 17 1 6 0 0 	->16 
20 65 24 10 43 7 4 5 0 0 53 4 14 1 2 4 16 160 1 0 2 0 0 6 0 	->17 
1 17 4 27 4 5 13 0 0 19 1 0 2 0 1 0 10 4 332 0 0 0 0 1 3 	->18 
0 0 0 1 2 1 0 0 0 7 0 0 0 0 0 0 0 0 0 450 0 0 0 0 8 	->19 
0 2 1 4 0 1 1 0 0 2 1 1 0 3 4 0 6 0 0 0 377 21 34 0 0 	->20 
2 2 0 7 2 1 3 1 0 3 0 1 0 0 0 0 2 0 0 0 44 393 8 2 11 	->21 
1 4 0 2 1 0 0 6 0 3 7 2 6 19 0 0 3 1 0 0 41 4 373 2 0 	->22 
5 6 0 5 2 3 1 2 1 0 46 2 1 1 0 0 1 2 1 1 0 12 9 352 15 	->23 
4 3 1 0 0 6 0 1 0 2 1 0 3 0 0 7 4 1 1 25 1 32 0 2 359 	->24 
Acuracia: 72.967088183569217%

    ^

SVM
renan@TheHC:~/GitHub/IdentificadorCharacter/Classificadores$ python Classificadores.py train.txt test.txt 5
366 16 0 11 0 3 4 5 0 2 22 0 15 0 1 0 2 5 0 0 0 0 3 3 1 	->0 
17 292 1 19 3 2 15 0 0 0 3 0 17 1 7 0 18 25 3 0 2 0 8 1 0 	->1 
0 0 498 0 1 3 3 0 0 0 1 9 0 0 2 1 0 0 0 0 0 0 0 0 0 	->2 
0 17 0 335 0 1 0 0 0 1 0 0 1 1 21 6 2 0 0 0 9 1 0 1 0 	->3 
0 5 42 1 237 12 27 0 1 0 8 6 1 0 0 1 0 14 2 1 0 0 0 3 0 	->4 
0 1 1 0 9 334 1 0 0 0 1 0 1 0 0 33 2 0 0 32 0 0 0 0 3 	->5 
4 4 6 3 3 3 279 2 0 0 1 2 11 1 7 0 20 0 3 0 13 6 20 0 1 	->6 
8 7 0 2 0 3 1 289 0 0 1 0 43 10 1 0 0 0 0 0 5 1 22 0 9 	->7 
0 0 1 4 8 12 0 0 609 59 1 2 0 0 0 1 0 0 15 6 0 0 0 23 7 	->8 
0 0 0 12 1 3 1 0 8 378 0 0 0 0 0 1 3 0 10 5 0 0 0 1 0 	->9 
